ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2015;NOV;Novembro;11;GASOLINA A;1035657,5068866981;67737919,0;b;US$ FOB
2015;DEZ;Dezembro;12;GASOLINA A;745650,4144313476;44946305,0;b;US$ FOB
2016;JAN;Janeiro;1;GASOLINA A;0,025430498652291106;262,0;b;US$ FOB
2016;FEV;Fevereiro;2;GASOLINA A;1618157,692577318;83193707,0;b;US$ FOB
2016;MAR;Março;3;GASOLINA A;2076702,8463703643;96699329,0;b;US$ FOB
2016;ABR;Abril;4;GASOLINA A;1272941,7165554715;55313051,0;b;US$ FOB
2016;MAI;Maio;5;GASOLINA A;1453304,6885078303;59264532,0;b;US$ FOB
2016;JUN;Junho;6;GASOLINA A;2371695,6474243263;109759554,0;b;US$ FOB
2016;JUL;Julho;7;GASOLINA A;2095146,3833326008;105000092,0;b;US$ FOB
2016;AGO;Agosto;8;GASOLINA A;1872633,2923156873;102306692,0;b;US$ FOB
2016;SET;Setembro;9;GASOLINA A;1886013,6000425876;96649326,0;b;US$ FOB
2016;OUT;Outubro;10;GASOLINA A;1215268,6261464015;63002485,0;b;US$ FOB
2016;NOV;Novembro;11;GASOLINA A;1000753,6049691242;55226259,0;b;US$ FOB
2016;DEZ;Dezembro;12;GASOLINA A;1542512,3771143665;88663529,0;b;US$ FOB
2017;JAN;Janeiro;1;GASOLINA A;2038045,1824540568;115274214,0;b;US$ FOB
2017;FEV;Fevereiro;2;GASOLINA A;4516014,27341434;263418318,0;b;US$ FOB
2017;MAR;Março;3;GASOLINA A;3215032,6177861993;201064455,0;b;US$ FOB
2017;ABR;Abril;4;GASOLINA A;2615042,979628113;159032884,0;b;US$ FOB
2017;MAI;Maio;5;GASOLINA A;1785019,4856426818;112776335,0;b;US$ FOB
2017;JUN;Junho;6;GASOLINA A;3081712,7962830863;182891215,0;b;US$ FOB
2017;JUL;Julho;7;GASOLINA A;2028844,190690337;114815784,0;b;US$ FOB
2017;AGO;Agosto;8;GASOLINA A;1976128,5979800406;116509775,0;b;US$ FOB
2017;SET;Setembro;9;GASOLINA A;1487577,795383167;97498361,0;b;US$ FOB
2017;OUT;Outubro;10;GASOLINA A;2010498,0355842724;129176940,0;b;US$ FOB
2017;NOV;Novembro;11;GASOLINA A;1177291,4738971968;81161851,0;b;US$ FOB
2017;DEZ;Dezembro;12;GASOLINA A;2300634,128482453;158008714,0;b;US$ FOB
2018;JAN;Janeiro;1;GASOLINA A;2518665,221264394;179457789,0;b;US$ FOB
2018;FEV;Fevereiro;2;GASOLINA A;2826061,7734665093;209788037,0;b;US$ FOB
2018;MAR;Março;3;GASOLINA A;2427105,465837507;182250611,0;b;US$ FOB
2018;ABR;Abril;4;GASOLINA A;1613633,3186547577;121623726,0;b;US$ FOB
2018;MAI;Maio;5;GASOLINA A;1322497,3324569005;104260234,0;b;US$ FOB
2018;JUN;Junho;6;GASOLINA A;1330374,2174936254;112485014,0;b;US$ FOB
2018;JUL;Julho;7;GASOLINA A;1163356,3659348653;91421957,0;b;US$ FOB
2018;AGO;Agosto;8;GASOLINA A;894136,2987072236;74639844,0;b;US$ FOB
2018;SET;Setembro;9;GASOLINA A;598316,9640628976;48399140,0;b;US$ FOB
2018;OUT;Outubro;10;GASOLINA A;546622,8042846362;44765689,0;b;US$ FOB
2018;NOV;Novembro;11;GASOLINA A;1229591,3288155256;103067169,0;b;US$ FOB
2018;DEZ;Dezembro;12;GASOLINA A;2190615,5523636388;161236322,0;b;US$ FOB
2019;JAN;Janeiro;1;GASOLINA A;2686527,5010077357;165301056,0;b;US$ FOB
2019;FEV;Fevereiro;2;GASOLINA A;2079367,182760499;115713666,0;b;US$ FOB
2019;MAR;Março;3;GASOLINA A;1939597,042426725;127780200,0;b;US$ FOB
2019;ABR;Abril;4;GASOLINA A;2796805,4597359705;196416004,0;b;US$ FOB
2019;MAI;Maio;5;GASOLINA A;3260560,907338059;245263808,0;b;US$ FOB
2019;JUN;Junho;6;GASOLINA A;1471560,5399131805;112335749,0;b;US$ FOB
2019;JUL;Julho;7;GASOLINA A;3588635,523557992;253339300,0;b;US$ FOB
2019;AGO;Agosto;8;GASOLINA A;2014695,0087903505;135899611,0;b;US$ FOB
2019;SET;Setembro;9;GASOLINA A;2038294,4606786794;128057505,0;b;US$ FOB
2019;OUT;Outubro;10;GASOLINA A;2582305,111956415;166920369,0;b;US$ FOB
2019;NOV;Novembro;11;GASOLINA A;3772969,222046752;247135856,0;b;US$ FOB
2019;DEZ;Dezembro;12;GASOLINA A;2138473,146139299;145228291,0;b;US$ FOB
2020;JAN;Janeiro;1;GASOLINA A;3729783,339735067;253631137,0;b;US$ FOB
2020;FEV;Fevereiro;2;GASOLINA A;2372847,108008054;156309154,0;b;US$ FOB
2020;MAR;Março;3;GASOLINA A;3474420,717124406;180508967,0;b;US$ FOB
2020;ABR;Abril;4;GASOLINA A;2808463,0546002565;88087471,0;b;US$ FOB
2020;MAI;Maio;5;GASOLINA A;2304742,906771824;52656292,0;b;US$ FOB
2020;JUN;Junho;6;GASOLINA A;1244158,8164609054;34184780,0;b;US$ FOB
2020;JUL;Julho;7;GASOLINA A;1023169,7250087162;48376940,0;b;US$ FOB
2020;AGO;Agosto;8;GASOLINA A;1367162,4428178244;64182674,0;b;US$ FOB
2020;SET;Setembro;9;GASOLINA A;1206231,8146442163;58014080,0;b;US$ FOB
2020;OUT;Outubro;10;GASOLINA A;1945324,0219500407;92657819,0;b;US$ FOB
2020;NOV;Novembro;11;GASOLINA A;1521578,663775973;75286546,0;b;US$ FOB
2020;DEZ;Dezembro;12;GASOLINA A;1809215,8484499056;111546152,0;b;US$ FOB
2021;JAN;Janeiro;1;GASOLINA A;1649193,953325662;82748934,0;b;US$ FOB
2021;FEV;Fevereiro;2;GASOLINA A;923071,4022377839;52545477,0;b;US$ FOB
2021;MAR;Março;3;GASOLINA A;795057,0072441081;52878819,0;b;US$ FOB
2021;ABR;Abril;4;GASOLINA A;552987,1840900135;38815856,0;b;US$ FOB
2021;MAI;Maio;5;GASOLINA A;749853,6132296892;56987045,0;b;US$ FOB
2021;JUN;Junho;6;GASOLINA A;894939,6490302432;67034989,0;b;US$ FOB
2021;JUL;Julho;7;GASOLINA A;848782,7623185405;61357524,0;b;US$ FOB
2021;AGO;Agosto;8;GASOLINA A;2324529,5610646894;181883723,0;b;US$ FOB
2021;SET;Setembro;9;GASOLINA A;1720996,1123555002;137465887,0;b;US$ FOB
2021;OUT;Outubro;10;GASOLINA A;2522662,740938878;223795646,0;b;US$ FOB
2021;NOV;Novembro;11;GASOLINA A;1360212,330263973;127166385,0;b;US$ FOB
2021;DEZ;Dezembro;12;GASOLINA A;878825,6572950946;78241047,0;b;US$ FOB
2022;JAN;Janeiro;1;GASOLINA A;2194567,007920176;191543405,0;b;US$ FOB
2022;FEV;Fevereiro;2;GASOLINA A;1012887,2371178918;103038266,0;b;US$ FOB
2022;MAR;Março;3;GASOLINA A;1018975,8071968649;108449938,0;b;US$ FOB
2022;ABR;Abril;4;GASOLINA A;856458,6254492162;98741531,0;b;US$ FOB
2022;MAI;Maio;5;GASOLINA A;957331,5213221622;116061773,0;b;US$ FOB
2022;JUN;Junho;6;GASOLINA A;884329,2580445814;103157112,0;b;US$ FOB
2022;JUL;Julho;7;GASOLINA A;1490420,6959830811;171070658,0;b;US$ FOB
2022;AGO;Agosto;8;GASOLINA A;1936951,0693767567;208159453,0;b;US$ FOB
2022;SET;Setembro;9;GASOLINA A;2961351,931195798;275638622,0;b;US$ FOB
2022;OUT;Outubro;10;GASOLINA A;4555082,637432474;435870354,0;b;US$ FOB
2022;NOV;Novembro;11;GASOLINA A;3061982,8988768114;307544472,0;b;US$ FOB
2022;DEZ;Dezembro;12;GASOLINA A;6231781,768393014;521461900,0;b;US$ FOB
2023;JAN;Janeiro;1;GASOLINA A;1112138,8919646216;105123127,0;b;US$ FOB
2023;FEV;Fevereiro;2;GASOLINA A;3796973,147092932;347900087,0;b;US$ FOB
2023;MAR;Março;3;GASOLINA A;1733833,5975660135;157803811,0;b;US$ FOB
2023;ABR;Abril;4;GASOLINA A;1679409,2485944189;153567821,0;b;US$ FOB
2023;MAI;Maio;5;GASOLINA A;3589175,4361609328;299531489,0;b;US$ FOB
2023;JUN;Junho;6;GASOLINA A;2645365,850373689;225857691,0;b;US$ FOB
2023;JUL;Julho;7;GASOLINA A;1334660,0196376888;121088973,0;b;US$ FOB
2023;AGO;Agosto;8;GASOLINA A;2662103,6467652027;245801550,0;b;US$ FOB
