ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2007;JUL;Julho;7;ASFALTO;b;3555,6203883999997
2007;AGO;Agosto;8;ASFALTO;b;3735,3739536000003
2007;SET;Setembro;9;ASFALTO;b;4435,684467200001
2007;OUT;Outubro;10;ASFALTO;b;6252,8259172
2007;NOV;Novembro;11;ASFALTO;b;5431,039229200001
2007;DEZ;Dezembro;12;ASFALTO;b;3714,3199652
2008;JAN;Janeiro;1;ASFALTO;b;4441,7595032
2008;FEV;Fevereiro;2;ASFALTO;b;1722,6654355999997
2008;MAR;Março;3;ASFALTO;b;1661,1787076
2008;ABR;Abril;4;ASFALTO;b;1841,3925028
2008;MAI;Maio;5;ASFALTO;b;3159,7182696
2008;JUN;Junho;6;ASFALTO;b;1327,5549124
2008;JUL;Julho;7;ASFALTO;b;2082,1971116
2008;AGO;Agosto;8;ASFALTO;b;960,9970584
2008;SET;Setembro;9;ASFALTO;b;2432,7266888000004
2008;OUT;Outubro;10;ASFALTO;b;2622,666678
2008;NOV;Novembro;11;ASFALTO;b;3779,470124
2008;DEZ;Dezembro;12;ASFALTO;b;4471,349224
2009;JAN;Janeiro;1;ASFALTO;b;4667,437886
2009;FEV;Fevereiro;2;ASFALTO;b;894,3802999999999
2009;MAR;Março;3;ASFALTO;b;661,430283261364
2009;ABR;Abril;4;ASFALTO;b;845,9102570900001
2009;MAI;Maio;5;ASFALTO;b;363,551018
2009;JUN;Junho;6;ASFALTO;b;1194,1495764
2009;JUL;Julho;7;ASFALTO;b;973,2514492000001
2009;AGO;Agosto;8;ASFALTO;b;670,5980648000001
2009;SET;Setembro;9;ASFALTO;b;859,6237304000001
2009;OUT;Outubro;10;ASFALTO;b;662,6023356000001
2009;NOV;Novembro;11;ASFALTO;b;78739,05705360002
2009;DEZ;Dezembro;12;ASFALTO;b;95136,16831200002
2010;JAN;Janeiro;1;ASFALTO;b;89397,06953000001
2010;FEV;Fevereiro;2;ASFALTO;b;102758,5159812
2010;MAR;Março;3;ASFALTO;b;129246,88794839998
2010;ABR;Abril;4;ASFALTO;b;81833,50857279998
2010;MAI;Maio;5;ASFALTO;b;107906,64876120002
2010;JUN;Junho;6;ASFALTO;b;89964,3306188
2010;JUL;Julho;7;ASFALTO;b;165761,775468
2010;AGO;Agosto;8;ASFALTO;b;302717,6386444001
2010;SET;Setembro;9;ASFALTO;b;166702,1112676
2010;OUT;Outubro;10;ASFALTO;b;138308,19687200003
2010;NOV;Novembro;11;ASFALTO;b;131740,7515904
2010;DEZ;Dezembro;12;ASFALTO;b;65175,01122
2011;JAN;Janeiro;1;ASFALTO;b;520,6612672
2011;FEV;Fevereiro;2;ASFALTO;b;33367,44205
