codigo_tse,uf,nome_municipio,codigo_ibge,POP_2022
2119,AM,BARREIRINHA,1300508,30990
2135,AM,BENJAMIN CONSTANT,1300607,37436
2950,AM,BERURI,1300631,20807
2976,AM,BOA VISTA DO RAMOS,1300680,24018
2151,AM,BOCA DO ACRE,1300706,35964
2178,AM,BORBA,1300805,33209
2992,AM,CAAPIRANGA,1300839,13851
2194,AM,CANUTAMA,1300904,17362
2216,AM,CARAUARI,1301001,29176
2232,AM,CAREIRO,1301100,30819
2046,AM,CAREIRO DA VÁRZEA,1301159,19615
2259,AM,COARI,1301209,71130
2275,AM,CODAJÁS,1301308,24071
2291,AM,EIRUNEPÉ,1301407,33173
2313,AM,ENVIRA,1301506,17034
2330,AM,FONTE BOA,1301605,27692
2020,AM,GUAJARÁ,1301654,13809
2356,AM,HUMAITÁ,1301704,59504
2399,AM,IPIXUNA,1301803,24387
98353,AM,IRANDUBA,1301852,59767
2410,AM,ITACOATIARA,1301902,103826
98370,AM,ITAMARATI,1301951,10783
2437,AM,ITAPIRANGA,1302009,10183
2453,AM,JAPURÁ,1302108,9281
2470,AM,JURUÁ,1302207,10501
2496,AM,JUTAÍ,1302306,25048
2518,AM,LÁBREA,1302405,47003
2534,AM,MANACAPURU,1302504,102736
98396,AM,MANAQUIRI,1302553,17333
2550,AM,MANAUS,1302603,2054731
2577,AM,MANICORÉ,1302702,59225
2593,AM,MARAÃ,1302801,15706
2615,AM,MAUÉS,1302900,61167
2631,AM,NHAMUNDÁ,1303007,20249
2658,AM,NOVA OLINDA DO NORTE,1303106,27088
2011,AM,NOVO AIRÃO,1303205,15819
2674,AM,NOVO ARIPUANÃ,1303304,24251
2690,AM,PARINTINS,1303403,96251
2712,AM,PAUINI,1303502,20351
98418,AM,PRESIDENTE FIGUEIREDO,1303536,30762
98434,AM,RIO PRETO DA EVA,1303569,24807
2372,AM,SANTA ISABEL DO RIO NEGRO,1303601,14305
2739,AM,SANTO ANTÔNIO DO IÇÁ,1303700,28233
2771,AM,SILVES,1304005,11572
2836,AM,SÃO GABRIEL DA CACHOEIRA,1303809,51921
2755,AM,SÃO PAULO DE OLIVENÇA,1303908,32727
98450,AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,11697
98477,AM,TABATINGA,1304062,66837
2798,AM,TAPAUÁ,1304104,21914
2810,AM,TEFÉ,1304203,74142
98515,AM,TONANTINS,1304237,20180
98493,AM,UARINI,1304260,14597
2852,AM,URUCARÁ,1304302,18582
2879,AM,URUCURITUBA,1304401,24017
6017,AP,AMAPÁ,1600105,7944
6033,AP,CALÇOENE,1600204,10613
6068,AP,CUTIAS,1600212,4388
6114,AP,FERREIRA GOMES,1600238,6689
6041,AP,ITAUBAL,1600253,5477
6130,AP,LARANJAL DO JARI,1600279,35038
6050,AP,MACAPÁ,1600303,478448
6076,AP,MAZAGÃO,1600402,22105
6092,AP,OIAPOQUE,1600501,27778
6025,AP,PORTO GRANDE,1600535,17923
6009,AP,PRACUÚBA,1600550,3803
6157,AP,SANTANA,1600600,114995
6106,AP,SERRA DO NAVIO,1600055,4744
6173,AP,TARTARUGALZINHO,1600709,10511
6122,AP,VITÓRIA DO JARI,1600808,11447
6084,AP,ÁGUA BRANCA DO AMAPARI,1600154,12365
33030,BA,ABARÉ,2900207,18766
33014,BA,ABAÍRA,2900108,7290
33057,BA,ACAJUTIBA,2900306,13715
33065,BA,ADUSTINA,2900355,14166
33111,BA,AIQUARA,2900603,4566
33138,BA,ALAGOINHAS,2900702,157864
33154,BA,ALCOBAÇA,2900801,23633
33170,BA,ALMADINA,2900900,5195
33197,BA,AMARGOSA,2901007,36260
33219,BA,AMÉLIA RODRIGUES,2901106,23639
30716,BA,AMÉRICA DOURADA,2901155,15104
33235,BA,ANAGÉ,2901205,25452
33251,BA,ANDARAÍ,2901304,13406
33260,BA,ANDORINHA,2901353,15011
33278,BA,ANGICAL,2901403,14973
33294,BA,ANGUERA,2901502,11019
33316,BA,ANTAS,2901601,14453
33332,BA,ANTÔNIO CARDOSO,2901700,11268
33359,BA,ANTÔNIO GONÇALVES,2901809,11921
