Cargo/Área,Nome,Assunção,Saída,Situação
Presidente do Banco Central do Brasil,Francisco Roberto André Gros,11/02/1987,30/04/1987,Exonerado
Diretor da Área Bancária - Diban,Ricardo Fernandez Silva,25/02/1987,20/05/1987,Exonerado
Presidente do Banco Central do Brasil,Lycio de Faria,30/04/1987,04/05/1987,Dispensado do encargo
Presidente do Banco Central do Brasil,Fernando Milliet de Oliveira,05/05/1987,09/03/1988,Exonerado
Diretor de Mercado de Capitais - Dimec,Luiz Aranha Corrêa do Lago,20/05/1987,27/01/1988,Exonerado
Diretor da Área Bancária - Diban,Wadico Waldir Bucchi,20/05/1987,14/03/1990,Dispensado do encargo
Diretor de Administração - Dirad,Wadico Waldir Bucchi,21/10/1987,28/10/1987,Dispensado do encargo
Diretor de Administração - Dirad,José Maria Arbex,28/10/1987,27/01/1988,Exonerado
Diretor da Dívida Pública e Mercado Aberto - Didip,Juarez Soares,27/01/1988,14/10/1988,Exonerado
Diretor de Administração - Dirad,Luis Álvaro de Oliveira Ribeiro,27/01/1988,09/03/1988,Exonerado
Diretor de Mercado de Capitais - Dimec,Keyler Carvalho Rocha,27/01/1988,10/01/1990,Exonerado
Presidente do Banco Central do Brasil,Elmo de Araújo Camões,09/03/1988,22/06/1989,Exonerado
Diretor da Área Externa - Direx,Arnim Lore,09/03/1988,15/03/1990,Exonerado
Diretor de Administração - Dirad,Antenor Araken Caldas Farias,09/03/1988,15/03/1990,Exonerado
Diretor da Dívida Pública e Mercado Aberto - Didip,Keyler Carvalho Rocha,14/10/1988,19/12/1988,Dispensado do encargo
Diretor para Assuntos da Dívida Externa - Divex,Arnim Lore,17/11/1988,14/03/1990,Dispensado do encargo
Diretor da Dívida Pública e Mercado Aberto - Didip,Carlos Thadeu de Freitas Gomes,19/12/1988,30/06/1989,Exonerado
Diretor da Dívida Pública e Mercado Aberto - Didip,Wadico Waldir Bucchi,30/06/1989,31/10/1989,Dispensado do encargo
Presidente do Banco Central do Brasil,Wadico Waldir Bucchi,25/10/1989,15/03/1990,Exonerado
Diretor da Dívida Pública e Mercado Aberto - Didip,Francisco Amadeu Pires Felix,31/10/1989,14/03/1990,Exonerado
Diretor de Mercado de Capitais - Dimec,Francisco Amadeu Pires Felix,10/01/1990,14/03/1990,Exonerado
Diretor de Administração - Dirad,Ibrahim Eris,15/03/1990,15/03/1990,Dispensado do encargo
Presidente do Banco Central do Brasil,Ibrahim Eris,15/03/1990,17/05/1991,Exonerado
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Gustavo Jorge Laboissière Loyola,15/03/1990,25/03/1993,Dispensado do encargo
Diretor da Área Externa - Direx,Ibrahim Eris,15/03/1990,15/03/1990,Dispensado do encargo
Diretor de Fiscalização - Difis,Ibrahim Eris,15/03/1990,24/04/1990,Dispensado do encargo
Diretor de Câmbio e Assuntos Internacionais - Direx,Antonio Cláudio Leonardo Pereira Sochaczewski,15/03/1990,20/07/1990,Dispensado do encargo
Diretor da Área Bancária - Diban,Ibrahim Eris,15/03/1990,15/03/1990,Dispensado do encargo
Diretor de Mercado de Capitais - Dimec,Ibrahim Eris,15/03/1990,15/03/1990,Dispensado do encargo
