Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Fernando Haddad;2023-01-01T03:00:00Z;2026-03-19T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento e Orçamento;Simone Nassar Tebet;2023-01-01T03:00:00Z;2026-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Secretario Especial do Tesouro e Orçamento do Ministério da Economia;Julio Alexandre Menezes da Silva;2022-12-02T03:00:00Z;2023-01-01T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);João Pedro Barroso do Nascimento;2022-07-15T03:00:00Z;2025-07-20T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Diogo Abry Guillen;2022-04-25T03:00:00Z;2025-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Renato Dias de Brito Gomes;2022-04-25T03:00:00Z;2025-12-31T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e de Resolução - Diorf;Renato Dias de Brito Gomes;2022-04-25T03:00:00Z;2025-12-31T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Diogo Abry Guillen;2022-04-25T03:00:00Z;2025-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Pedro Calhman de Miranda;2022-02-24T03:00:00Z;2023-01-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e de Resolução - Diorf;Otávio Ribeiro Damaso;2022-02-09T03:00:00Z;2022-04-24T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Fernanda Magalhães Rumenos Guardado;2021-12-31T03:00:00Z;2022-04-25T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Secretario Especial do Tesouro e Orçamento do Ministério da Economia;Esteves Pedro Colnago Júnior;2021-10-29T03:00:00Z;2022-12-01T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Paulo Fontoura Valle;2021-10-29T03:00:00Z;2023-01-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Fernanda Magalhães Rumenos Guardado;2021-07-26T03:00:00Z;2024-01-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Fernanda Magalhães Rumenos Guardado;2021-07-26T03:00:00Z;2024-01-02T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Secretario Especial do Tesouro e Orçamento do Ministério da Economia;Bruno Funchal;2021-05-11T03:00:00Z;2021-10-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Jeferson Luis Bittencourt;2021-05-11T03:00:00Z;2021-10-29T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;João Manoel Pinho de Mello;2021-05-07T03:00:00Z;2021-07-26T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Bruno Funchal;2020-07-15T03:00:00Z;2021-05-11T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Fábio Kanczuk;2019-12-09T03:00:00Z;2021-12-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Fábio Kanczuk;2019-12-06T03:00:00Z;2021-12-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Bruno Serra Fernandes;2019-10-03T03:00:00Z;2019-12-09T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Otávio Ribeiro Damaso;2019-10-02T03:00:00Z;2019-10-02T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Mauricio Costa de Moura;2019-10-01T03:00:00Z;2019-10-01T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Fernanda Feitosa Nechio;2019-07-05T03:00:00Z;2021-05-07T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Fernanda Feitosa Nechio;2019-07-05T03:00:00Z;2021-05-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;João Manoel Pinho de Mello;2019-06-21T03:00:00Z;2019-07-05T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Relacionamento Institucional, Cidadania e Supervisão de Conduta - Direc;Mauricio Costa de Moura;2019-06-06T03:00:00Z;2024-01-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Bruno Serra Fernandes;2019-02-28T03:00:00Z;2023-03-23T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Carlos Viana de Carvalho;2019-02-28T03:00:00Z;2019-10-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e de Resolução - Diorf;João Manoel Pinho de Mello;2019-02-28T03:00:00Z;2022-02-08T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Roberto de Oliveira Campos Neto;2019-02-28T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;João Manoel Pinho de Mello;2019-02-28T03:00:00Z;2022-02-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Roberto de Oliveira Campos Neto;2019-02-28T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Bruno Serra Fernandes;2019-02-28T03:00:00Z;2023-03-23T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Roberto de Oliveira Campos Neto;2019-02-28T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Adolfo Sachsida;2019-01-04T02:00:00Z;2022-02-02T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Secretario Especial do Tesouro e Orçamento do Ministério da Economia;Waldery Rodrigues Júnior;2019-01-03T02:00:00Z;2021-05-11T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Economia;Marcelo Pacheco dos Guaranys;2019-01-02T02:00:00Z;2023-01-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Economia;Paulo Roberto Nunes Guedes;2019-01-01T02:00:00Z;2023-01-01T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Carlos Viana de Carvalho;2018-12-21T02:00:00Z;2019-02-28T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Tiago Couto Berriel;2018-12-21T02:00:00Z;2019-02-28T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;João Manoel Pinho de Mello;2018-11-23T02:00:00Z;2018-12-28T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Relacionamento Institucional e Cidadania - Direc;Mauricio Costa de Moura;2018-04-27T03:00:00Z;2019-06-06T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Administração - Dirad;Carolina de Assis Barros;2018-04-26T03:00:00Z;2024-01-02T03:00:00Z;Dispensado do encargo
