Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Diretoria Colegiada;Diretor de Administração - Dirad;Altamir Lopes;2011-03-03T03:00:00Z;2015-09-29T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Fiscalização - Difis;Anthero de Moraes Meirelles;2011-03-02T03:00:00Z;2017-09-19T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Liquidações e Controle de Operações do Crédito Rural - Dilid;Sidnei Corrêa Marques;2011-03-02T03:00:00Z;2011-05-04T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Sidnei Corrêa Marques;2011-03-02T03:00:00Z;2019-02-28T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Altamir Lopes;2011-03-02T03:00:00Z;2016-06-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Márcio Holland de Brito;2011-01-12T02:00:00Z;2015-01-13T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Luiz Awazu Pereira da Silva;2011-01-04T02:00:00Z;2011-05-04T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Presidente do Banco Central do Brasil;Alexandre Antonio Tombini;2011-01-01T02:00:00Z;2016-06-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Miriam Aparecida Belchior;2011-01-01T02:00:00Z;2015-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Alexandre Antonio Tombini;2011-01-01T02:00:00Z;2016-06-09T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Iraneth Rodrigues Monteiro;2011-01-01T02:00:00Z;2011-09-15T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Alexandre Antonio Tombini;2011-01-01T02:00:00Z;2016-06-09T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Nelson Henrique Barbosa Filho;2011-01-01T02:00:00Z;2013-06-03T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Luiz Awazu Pereira da Silva;2010-04-27T03:00:00Z;2011-05-04T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Luiz Awazu Pereira da Silva;2010-04-22T03:00:00Z;2015-09-29T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Carlos Hamilton Vasconcelos Araújo;2010-03-31T03:00:00Z;2015-02-05T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor para Estudos Especiais;Mário Magalhães Carvalho Mesquita;2010-03-31T03:00:00Z;2010-04-08T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Carlos Hamilton Vasconcelos Araújo;2010-02-26T03:00:00Z;2010-04-27T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Carlos Hamilton Vasconcelos Araújo;2010-02-26T03:00:00Z;2015-02-19T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Aldo Luiz Mendes;2010-01-18T02:00:00Z;2010-02-26T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Aldo Luiz Mendes;2009-12-07T02:00:00Z;2016-07-07T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Aldo Luiz Mendes;2009-11-27T02:00:00Z;2016-07-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Liquidações e Controle de Operações do Crédito Rural - Dilid;Antonio Gustavo Matos do Vale;2009-03-25T03:00:00Z;2011-03-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Nelson Henrique Barbosa Filho;2008-08-05T03:00:00Z;2011-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Maria Celina Berardinelli Arraes;2008-01-21T02:00:00Z;2010-01-19T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Alexandre Antonio Tombini;2008-01-14T02:00:00Z;2008-01-20T02:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Maria Celina Berardinelli Arraes;2008-01-14T02:00:00Z;2010-01-19T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Alvir Alberto Hoffmann;2007-12-19T02:00:00Z;2011-03-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Alvir Alberto Hoffmann;2007-12-18T02:00:00Z;2011-03-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Anthero de Moraes Meirelles;2007-12-06T02:00:00Z;2017-09-19T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Maria Helena dos Santos Fernandes de Santana;2007-07-18T03:00:00Z;2012-07-14T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Arno Hugo Augustin Filho;2007-06-05T03:00:00Z;2015-01-07T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Mario Gomes Torós;2007-04-26T03:00:00Z;2009-12-07T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Anthero de Moraes Meirelles;2007-04-26T03:00:00Z;2011-03-03T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Mario Gomes Torós;2007-04-25T03:00:00Z;2007-05-23T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Mario Gomes Torós;2007-04-25T03:00:00Z;2009-12-07T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Bernard Appy;2007-04-19T03:00:00Z;2008-08-05T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Nelson Machado;2007-04-19T03:00:00Z;2011-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Mário Magalhães Carvalho Mesquita;2007-03-07T03:00:00Z;2010-03-31T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Tarcísio José Massote de Godoy;2006-12-29T02:00:00Z;2007-06-05T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Antonio Gustavo Matos do Vale;2006-11-03T02:00:00Z;2007-12-07T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Paulo Vieira da Cunha;2006-06-14T03:00:00Z;2008-01-14T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Mário Magalhães Carvalho Mesquita;2006-06-01T03:00:00Z;2007-04-25T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Mário Magalhães Carvalho Mesquita;2006-05-30T03:00:00Z;2010-04-08T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Paulo Vieira da Cunha;2006-05-30T03:00:00Z;2008-01-14T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Júlio Sérgio Gomes de Almeida;2006-05-23T03:00:00Z;2007-04-19T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Alexandre Antonio Tombini;2006-04-28T03:00:00Z;2006-06-14T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Afonso Sant'Anna Bevilaqua;2006-04-20T03:00:00Z;2006-06-01T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Alexandre Antonio Tombini;2006-04-12T03:00:00Z;2011-01-01T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Sérgio Darcy da Silva Alves;2006-04-12T03:00:00Z;2006-04-20T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Carlos Kawall Leal Ferreira;2006-04-05T03:00:00Z;2006-12-29T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Bernard Appy;2006-03-31T03:00:00Z;2007-04-19T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Otávio Ribeiro Damaso;2006-03-31T03:00:00Z;2006-05-23T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Guido Mantega;2006-03-28T03:00:00Z;2015-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;João Bernardo de Azevedo Bringel;2005-07-22T03:00:00Z;2011-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Alexandre Antonio Tombini;2005-06-03T03:00:00Z;2011-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Alexandre Antonio Tombini;2005-06-03T03:00:00Z;2006-04-12T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Bernard Appy;2005-05-16T03:00:00Z;2006-03-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Murilo Portugal Filho;2005-05-16T03:00:00Z;2006-03-31T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Paulo Bernardo Silva;2005-03-22T03:00:00Z;2011-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Nelson Machado - [interino];2004-11-19T02:00:00Z;2005-03-22T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Afonso Sant'Anna Bevilaqua;2004-10-20T02:00:00Z;2007-03-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Rodrigo Telles da Rocha Azevedo;2004-10-20T02:00:00Z;2007-04-27T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Rodrigo Telles da Rocha Azevedo;2004-10-19T02:00:00Z;2007-04-27T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Afonso Sant'Anna Bevilaqua;2004-07-29T03:00:00Z;2004-10-20T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Eduardo Henrique de Mello Motta Loyo;2004-07-29T03:00:00Z;2004-10-20T02:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Marcelo Fernandez Trindade;2004-05-28T03:00:00Z;2007-07-15T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Alexandre Schwartsman;2003-11-03T02:00:00Z;2006-04-28T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Alexandre Schwartsman;2003-11-03T02:00:00Z;2006-04-28T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Estudos Especiais - Diesp;Eduardo Henrique de Mello Motta Loyo;2003-08-21T03:00:00Z;2005-06-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Eduardo Henrique de Mello Motta Loyo;2003-08-20T03:00:00Z;2005-06-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Afonso Sant'Anna Bevilaqua;2003-07-02T03:00:00Z;2004-07-29T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor para Estudos Especiais;Afonso Sant'Anna Bevilaqua;2003-06-26T03:00:00Z;2003-07-02T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Afonso Sant'Anna Bevilaqua;2003-06-26T03:00:00Z;2007-03-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Liquidações e Desestatização - Dilid;Antonio Gustavo Matos do Vale;2003-05-08T03:00:00Z;2009-03-25T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Antonio Gustavo Matos do Vale;2003-05-08T03:00:00Z;2011-03-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Luiz Augusto de Oliveira Candiota;2003-03-17T03:00:00Z;2004-07-29T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Paulo Sérgio Cavalheiro;2003-03-17T03:00:00Z;2007-12-18T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;João Antônio Fleury Teixeira;2003-03-17T03:00:00Z;2006-10-31T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor para Estudos Especiais;Luiz Fernando Figueiredo;2003-03-17T03:00:00Z;2003-03-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;João Antônio Fleury Teixeira;2003-03-14T03:00:00Z;2006-11-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Luiz Augusto de Oliveira Candiota;2003-03-14T03:00:00Z;2004-07-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Paulo Sérgio Cavalheiro;2003-03-14T03:00:00Z;2007-12-18T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Nelson Machado;2003-01-29T02:00:00Z;2005-07-22T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Joaquim Vieira Ferreira Levy;2003-01-01T02:00:00Z;2006-03-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Bernard Appy;2003-01-01T02:00:00Z;2005-05-16T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Marcos de Barros Lisboa;2003-01-01T02:00:00Z;2005-05-16T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Henrique de Campos Meirelles;2003-01-01T02:00:00Z;2011-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Henrique de Campos Meirelles;2003-01-01T02:00:00Z;2011-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Guido Mantega;2003-01-01T02:00:00Z;2004-11-19T02:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Henrique de Campos Meirelles;2003-01-01T02:00:00Z;2011-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Antônio Palocci Filho;2003-01-01T02:00:00Z;2006-03-28T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Everardo de Almeida Maciel;2002-11-08T02:00:00Z;2003-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Arno Meyer;2002-10-31T02:00:00Z;2003-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Luiz Leonardo Cantidiano Varnieri Ribeiro;2002-07-15T03:00:00Z;2004-05-28T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Eduardo Refinetti Guardia;2002-04-30T03:00:00Z;2003-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Liquidações e Desestatização - Dilid;Carlos Eduardo de Freitas;2002-04-24T03:00:00Z;2003-05-08T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Simão Cirineu Dias;2002-04-03T03:00:00Z;2003-01-29T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Guilherme Gomes Dias;2002-04-03T03:00:00Z;2003-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor para Estudos Especiais;Daniel Luiz Gleizer;2002-01-11T02:00:00Z;2002-02-14T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Beny Parnes;2002-01-11T02:00:00Z;2003-11-03T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Beny Parnes;2002-01-02T02:00:00Z;2003-11-03T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;José Guilherme Almeida dos Reis;2001-07-10T03:00:00Z;2002-10-28T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Ilan Goldfajn;2000-09-14T03:00:00Z;2003-07-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Ilan Goldfajn;2000-09-14T03:00:00Z;2003-07-02T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor para Estudos Especiais;Sérgio Ribeiro da Costa Werlang;2000-09-14T03:00:00Z;2000-09-25T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Tereza Cristina Grossi Togni;2000-03-30T03:00:00Z;2003-03-14T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Tereza Cristina Grossi Togni;2000-03-30T03:00:00Z;2003-03-14T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);José Luiz Osório de Almeida Filho;2000-01-12T02:00:00Z;2002-07-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Finanças Públicas e Regimes Especiais - Difip;Carlos Eduardo de Freitas;1999-12-01T02:00:00Z;2002-04-24T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Fiscalização - Difis;Carlos Eduardo de Freitas;1999-11-29T02:00:00Z;2000-03-30T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm;Carlos Eduardo de Freitas;1999-08-12T03:00:00Z;1999-12-01T02:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Carlos Eduardo de Freitas;1999-08-12T03:00:00Z;2003-05-08T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Guilherme Gomes Dias;1999-08-05T03:00:00Z;2002-04-03T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm;Luiz Carlos Alvarez;1999-07-29T03:00:00Z;1999-08-12T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Martus Antônio Rodrigues Tavares;1999-07-19T03:00:00Z;2002-04-03T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Fábio de Oliveira Barbosa;1999-07-01T03:00:00Z;2002-04-30T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Amaury Guilherme Bier;1999-03-31T03:00:00Z;2002-10-31T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Edward Joaquim Amadeo Swaelen;1999-03-31T03:00:00Z;2001-06-29T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Pedro Pullen Parente;1999-03-31T03:00:00Z;1999-07-19T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Armínio Fraga Neto;1999-03-04T03:00:00Z;2003-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Armínio Fraga Neto;1999-03-04T03:00:00Z;2003-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Sérgio Ribeiro da Costa Werlang;1999-03-04T03:00:00Z;2000-09-14T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Daniel Luiz Gleizer;1999-03-04T03:00:00Z;2002-01-11T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Luiz Fernando Figueiredo;1999-03-04T03:00:00Z;2003-03-17T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Administração - Dirad;Edison Bernardes dos Santos;1999-03-04T03:00:00Z;2003-03-14T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Luiz Carlos Alvarez;1999-03-04T03:00:00Z;1999-12-02T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Armínio Fraga Neto;1999-03-04T03:00:00Z;2003-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Daniel Luiz Gleizer;1999-03-04T03:00:00Z;2002-02-14T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Luiz Fernando Figueiredo;1999-03-04T03:00:00Z;2003-03-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Sérgio Ribeiro da Costa Werlang;1999-03-04T03:00:00Z;2000-09-25T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Edison Bernardes dos Santos;1999-03-04T03:00:00Z;2003-03-14T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Luiz Carlos Alvarez;1999-03-04T03:00:00Z;1999-12-02T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Amaury Guilherme Bier;1998-04-01T03:00:00Z;1999-03-31T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Paulo de Tarso Almeida Paiva;1998-03-31T03:00:00Z;1999-03-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Demosthenes Madureira de Pinho Neto;1997-09-03T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Sérgio Darcy da Silva Alves;1997-09-03T03:00:00Z;2006-04-20T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Sérgio Darcy da Silva Alves;1997-09-03T03:00:00Z;2006-04-12T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Demosthenes Madureira de Pinho Neto;1997-09-03T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1997-08-20T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1997-08-20T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1997-08-20T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Eduardo Augusto de Almeida Guimarães;1996-12-02T02:00:00Z;1999-07-01T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Reestruturação do Sistema Financeiro Estadual e das Dívidas dos Estados, do Distrito Federal e dos Municípios - Direm;Paolo Enrico Maria Zaghen;1996-12-02T02:00:00Z;1999-07-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Paolo Enrico Maria Zaghen;1996-12-02T02:00:00Z;1999-07-29T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Martus Antônio Rodrigues Tavares;1996-09-02T03:00:00Z;1999-07-19T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Andrea Sandro Calabi - [interino];1996-06-01T03:00:00Z;1996-06-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Antonio Kandir;1996-06-01T03:00:00Z;1998-03-31T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Francisco Lafaiete de Pádua Lopes;1996-03-22T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Alkimar Ribeiro Moura;1996-03-22T03:00:00Z;1997-09-03T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Francisco Augusto da Costa e Silva;1995-08-08T03:00:00Z;2000-01-12T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Cláudio Ness Mauch;1995-06-30T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
