mes,ano,selic_am,selic_cf_am,ipca_acum_ano_pct,selic_cf_acum_ano_pct,estoque_selic_act,estoque_selic_cf,juros_selic_act,juros_selic_cf,emissao_selic,residuo_selic,dbgg_act,dbgg_cf,delta_estoque_selic,delta_dbgg,dbgg_pib_cf,dbgg_pib_act
2006-12-01,2006,,,,,475199.59435873,475199.59435873,0.00000000,0.00000000,0.00000000,0.00000000,1336644.90163872,1336644.90163872,0.00000000,0.00000000,46.49000000,46.49000000
2007-01-01,2007,1.08000000,0.39364223,4.45733043,4.82733043,522852.01654369,519271.84613175,5633.48186632,2053.31145438,42018.94031857,0.00000007,1367451.90800499,1363871.73759305,3580.17041194,3580.17041194,45.82969681,45.95000000
2007-02-01,2007,0.87000000,0.39364223,4.45733043,4.82733043,530141.59328233,524312.28348056,4084.62214782,1835.48275799,3204.95459081,0.00000001,1399083.70891168,1393254.39910991,5829.30980177,5829.30980177,45.66892341,45.86000000
2007-03-01,2007,1.05000000,0.39364223,4.45733043,4.82733043,524932.65431261,515631.17671397,5518.16638954,2045.99859266,-10727.10535928,0.00000002,1423273.44757427,1413971.96997563,9301.47759864,9301.47759864,45.51061924,45.81000000
2007-04-01,2007,0.94000000,0.39364223,4.45733043,4.82733043,543461.90527526,530952.24691964,5450.04664638,2241.86588941,13079.20431635,-0.00000008,1438854.85048596,1426345.19213034,12509.65835562,12509.65835562,44.68806651,45.08000000
2007-05-01,2007,1.03000000,0.39364223,4.45733043,4.82733043,568917.93949478,552994.02573743,5448.68388971,2034.42848798,20007.35032978,0.00000003,1474335.19997348,1458411.28621613,15923.91375735,15923.91375735,44.74148245,45.23000000
2007-06-01,2007,0.91000000,0.39364223,4.45733043,4.82733043,546778.63195456,527949.46955873,5013.07896715,2107.83032867,-27152.38650738,0.00000001,1499458.72639250,1480629.56399667,18829.16239583,18829.16239583,44.23743268,44.80000000
2007-07-01,2007,0.97000000,0.39364223,4.45733043,4.82733043,604562.80045891,582330.47811052,5595.84662374,2192.68667118,52188.32188062,-0.00000001,1517873.99883538,1495641.67648699,22232.32234839,22232.32234839,44.07483905,44.73000000
2007-08-01,2007,0.99000000,0.39364223,4.45733043,4.82733043,606179.61070775,580239.49513319,6009.35340821,2301.56018204,-4392.54315939,0.00000002,1536267.52585414,1510327.41027958,25940.11557456,25940.11557456,43.34553351,44.09000000
2007-09-01,2007,0.80000000,0.39364223,4.45733043,4.82733043,589138.29087845,560690.50675587,4740.36267182,2232.69412380,-21781.68250112,0.00000000,1533431.75613669,1504983.97201411,28447.78412258,28447.78412258,43.76277917,44.59000000
2007-10-01,2007,0.93000000,0.39364223,4.45733043,4.82733043,619556.76110118,587510.37613422,6026.11811498,2427.51727060,24392.35210779,-0.00000004,1538287.06165638,1506240.67668942,32046.38496696,32046.38496696,43.67086993,44.60000000
2007-11-01,2007,0.84000000,0.39364223,4.45733043,4.82733043,602166.63923225,567303.95042281,5068.78073146,2252.47688898,-22458.90260039,0.00000000,1544955.73085466,1510093.04204522,34862.68880944,34862.68880944,43.11463607,44.11000000
2007-12-01,2007,0.84000000,0.39364223,4.45733043,4.82733043,580232.78893847,542559.86139205,5031.67719635,2221.43845937,-26965.52749011,-0.00000002,1542851.83360594,1505178.90605952,37672.92754642,37672.92754642,43.46219047,44.55000000
2008-01-01,2008,0.93000000,0.50824226,5.90231342,6.27231342,648342.47563314,607899.23436359,5665.43119259,2895.11746945,62444.25550201,0.00000007,1579474.28477737,1539031.04350782,40443.24126955,40443.24126955,42.59078325,43.71000000
2008-02-01,2008,0.80000000,0.50824226,5.90231342,6.27231342,628110.79368393,585649.97052491,4989.97555813,2972.39366866,-25221.65750725,-0.00000009,1583893.91637378,1541433.09321476,42460.82315902,42460.82315902,42.61608335,43.79000000
2008-03-01,2008,0.84000000,0.50824226,5.90231342,6.27231342,621953.79109755,577184.09632737,5297.38009844,2988.50848728,-11454.38268490,0.00000008,1599048.51215762,1554278.81738744,44769.69477018,44769.69477018,41.79609852,43.00000000
