ano,mes,mes_nome,periodo,volume_produzido_brasil_barris,volume_importado_barris,dispendio_importacao_usd,custo_medio_importado_usd_bbl,custo_producao_brasil_usd_bbl,volume_total_proxy_consumo_barris,custo_medio_ponderado_usd_bbl,lucro_bruto_adicional_usd
2000,1,Janeiro,2000-01,46112556.856111035,8254566.769262805,167443533.0,20.28495712500657,25.0,54367123.62537384,24.284114486178087,-38920636.23157012
2000,2,Fevereiro,2000-02,45135470.095105045,6610904.176321909,164836131.0,24.933976745630194,25.0,51746374.27142695,24.991565140279043,-436473.4080477175
2000,3,Março,2000-03,50046835.5982632,7521585.989912041,199807833.0,26.564588009494603,25.0,57568421.58817524,25.204420807928077,11768183.252198974
2000,4,Abril,2000-04,48872790.56131826,6821056.284026895,188123240.0,27.579781219594206,25.0,55693846.845345154,25.315956499614614,17596832.89932763
2000,5,Maio,2000-05,49065767.593766086,11891854.280894767,315964775.0,26.569849204057533,25.0,60957621.87466085,25.30625239967557,18668417.97763082
2000,6,Junho,2000-06,50650086.411672115,8963253.312455436,228431778.0,25.485364525240925,25.0,59613339.72412755,25.07297771285331,4350445.1886140825
2000,7,Julho,2000-07,50297111.92867781,9453767.819342932,242522067.0,25.653482466936246,25.0,59750879.748020746,25.1033938168355,6177871.516426718
2000,8,Agosto,2000-08,48258875.44722571,11173960.760383997,291848227.0,26.1186013857069,25.0,59432836.20760971,25.210308119012492,12499207.990400057
2000,9,Setembro,2000-09,46577480.91779815,7841794.411713861,237470101.0,30.282622641225274,25.0,54419275.32951201,25.76122367408094,41425240.70715347
2000,10,Outubro,2000-10,52812441.371420935,13488421.855129335,439873873.0,32.6112185490941,25.0,66300863.226550266,26.548446304099627,102663326.62176661
2000,11,Novembro,2000-11,46485755.45393191,12249893.521411583,418770536.0,34.18564702362769,25.0,58735648.975343496,26.915756443109128,112523197.9647104
2000,12,Dezembro,2000-12,51021259.00409875,10559031.33935975,332377698.0,31.478048252497548,25.0,61580290.3434585,26.110776096288287,68401914.51600626
2001,1,Janeiro,2001-01,49228233.52709223,12427676.42032471,350514133.0,28.20431761698876,25.0,61655909.94741695,25.645878432835467,39822222.49188228
2001,2,Fevereiro,2001-02,46986376.552459486,6436347.034059426,160114470.0,24.87660611721479,25.0,53422723.58651891,24.985133557442097,-794205.8514856537
2001,3,Março,2001-03,50618917.010100566,12999948.020679995,341228837.0,26.248477029075932,25.0,63618865.03078056,25.255115152952627,16230136.483000105
2001,4,Abril,2001-04,49829492.45724936,8859550.876634713,215267175.0,24.297752560767382,25.0,58689043.333884075,24.89399048676815,-6221596.915867824
2001,5,Maio,2001-05,51609907.08083989,11696941.51110868,278492862.0,23.809032620665246,25.0,63306848.59194857,24.779949940842755,-13930675.777717005
2001,6,Junho,2001-06,50526690.86149141,8506798.242380798,235670625.0,27.703798572051575,25.0,59033489.10387221,25.389620693095225,23000668.94048005
2001,7,Julho,2001-07,52765921.139025554,11140002.8699966,285315190.0,25.611769882792416,25.0,63905924.009022154,25.106642981159663,6815118.250084996
2001,8,Agosto,2001-08,55552632.75529894,6984194.87844764,146247981.0,20.93984826387121,25.0,62536827.63374658,24.546556932384448,-28356890.961190995
2001,9,Setembro,2001-09,54762973.883468926,8219146.388085568,207754416.0,25.276884750606182,25.0,62982120.27155449,25.036133370678037,2275756.297860778
2001,10,Outubro,2001-10,52533994.01360545,8122526.375243871,201849177.0,24.850541281737566,25.0,60656520.388849325,24.97998595413462,-1213982.3810967598
2001,11,Novembro,2001-11,49110871.40890092,11922917.109268278,268954693.0,22.55779273940671,25.0,61033788.518169194,24.522916151222717,-29118234.731706936
2001,12,Dezembro,2001-12,49273929.72486322,7639194.10519518,146996136.0,19.242361691010373,25.0,56913123.830058396,24.22717795703476,-43983716.6298795
2002,1,Janeiro,2002-01,50626699.64221179,8113261.612253971,140527257.0,17.320686021975774,25.0,58739961.25446576,23.939320320004256,-62304283.306349285
2002,2,Fevereiro,2002-02,46346931.84994296,7842214.317689851,128310526.0,16.361517398289816,25.0,54189146.16763281,23.74984500156767,-67744831.94224627
2002,3,Março,2002-03,52283512.98330894,8580442.95468908,169874409.0,19.797860075180182,25.0,60863955.93799802,24.266615779744942,-44636664.86722699
2002,4,Abril,2002-04,50461527.08269474,9787978.835581576,210903119.0,21.547157236723702,25.0,60249505.91827632,24.439060098926262,-33796351.889539406
2002,5,Maio,2002-05,49942295.42933315,8640377.824790958,192880734.0,22.323182841216376,25.0,58582673.254124105,24.60519535324985,-23128711.619773965
2002,6,Junho,2002-06,47070176.51465912,7012218.660653492,165872438.0,23.65477262292642,25.0,54082395.175312616,24.825580422506075,-9433028.516337315
2002,7,Julho,2002-07,52572603.48859213,10128179.066455744,223592934.0,22.0763211760872,25.0,62700782.55504788,24.527732486665595,-29611542.66139359
2002,8,Agosto,2002-08,51398999.55381963,7063889.093443364,170527877.0,24.140791955281742,25.0,58462888.64726299,24.896184562950634,-6069350.336084102
2002,9,Setembro,2002-09,47680578.76445812,9194344.122848276,238714532.0,25.963193112033494,25.0,56874922.88730639,25.15570885162061,8855928.928793097
2002,10,Outubro,2002-10,52309869.3967846,11100363.23275226,287280692.0,25.880296525104853,25.0,63410232.62953687,25.154101487661816,9771611.181193491
2002,11,Novembro,2002-11,50694694.05696951,9539760.299059473,230285538.0,24.139551810615608,25.0,60234454.35602898,24.863724681094165,-8208469.476486834
2002,12,Dezembro,2002-12,46142499.9360628,8846561.590857297,235634832.0,26.63575329012831,25.0,54989061.526920095,25.263157650389854,14470792.228567561
2003,1,Janeiro,2003-01,48530465.71321847,6255376.8667945005,157770020.0,25.221505172213153,25.0,54785842.58001298,25.025291174962103,1385598.3301374873
2003,2,Fevereiro,2003-02,45648243.63528389,7674792.296598054,195766738.0,25.507757139795956,25.0,53323035.93188194,25.073081558784967,3896930.5850486634
