titulo,numero,tipo,libera_captacao,libera_captacao_inicial,data_portaria,data_publicacao,edicao,secao,pagina,orgao,url,url_title,qtd_projetos,valor_total_anexo,lei_8313,texto_art1
"PORTARIA SEFIC/MINC Nº 435, DE 14 DE JULHO DE 2026",435,complementacao_valor,True,False,2026-07-14,2026-07-15,131,,16,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-435-de-14-de-julho-de-2026-719000651,portaria-sefic/minc-n-435-de-14-de-julho-de-2026-719000651,2,22741457.29,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 436, DE 14 DE JULHO DE 2026",436,prorrogacao_prazo,True,False,2026-07-14,2026-07-15,131,,16,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-436-de-14-de-julho-de-2026-719005651,portaria-sefic/minc-n-436-de-14-de-julho-de-2026-719005651,1,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 437, DE 14 DE JULHO DE 2026",437,reducao_valor,False,False,2026-07-14,2026-07-15,131,,16,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-437-de-14-de-julho-de-2026-718993844,portaria-sefic/minc-n-437-de-14-de-julho-de-2026-718993844,1,14438.05,True,Homologar o valor reduzido de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 438, DE 14 DE JULHO DE 2026",438,alteracao_projeto,False,False,2026-07-14,2026-07-15,131,,16,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-438-de-14-de-julho-de-2026-718992847,portaria-sefic/minc-n-438-de-14-de-julho-de-2026-718992847,6,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 439, DE 15 DE JULHO DE 2026",439,homologacao_captacao,True,True,2026-07-15,2026-07-16,132,,32,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-439-de-15-de-julho-de-2026-719509876,portaria-sefic/minc-n-439-de-15-de-julho-de-2026-719509876,43,104237742.97,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 440, DE 15 DE JULHO DE 2026",440,prorrogacao_prazo,True,False,2026-07-15,2026-07-16,132,,35,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-440-de-15-de-julho-de-2026-719531070,portaria-sefic/minc-n-440-de-15-de-julho-de-2026-719531070,6,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 441, DE 15 DE JULHO DE 2026",441,alteracao_projeto,False,False,2026-07-15,2026-07-16,132,,35,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-441-de-15-de-julho-de-2026-719525770,portaria-sefic/minc-n-441-de-15-de-julho-de-2026-719525770,4,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 443, DE 16 DE JULHO DE 2026",443,complementacao_valor,True,False,2026-07-16,2026-07-17,133,,88,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-443-de-16-de-julho-de-2026-719814141,portaria-sefic/minc-n-443-de-16-de-julho-de-2026-719814141,1,21016.07,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 444, DE 16 DE JULHO DE 2026",444,prorrogacao_prazo,True,False,2026-07-16,2026-07-17,133,,88,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-444-de-16-de-julho-de-2026-719781940,portaria-sefic/minc-n-444-de-16-de-julho-de-2026-719781940,3,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 445, DE 16 DE JULHO DE 2026",445,reducao_valor,False,False,2026-07-16,2026-07-17,133,,88,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-445-de-16-de-julho-de-2026-719811060,portaria-sefic/minc-n-445-de-16-de-julho-de-2026-719811060,2,55276.69,True,Homologar o valor reduzido de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 446, DE 16 DE JULHO DE 2026",446,alteracao_projeto,False,False,2026-07-16,2026-07-17,133,,89,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-446-de-16-de-julho-de-2026-719807476,portaria-sefic/minc-n-446-de-16-de-julho-de-2026-719807476,5,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 447, DE 17 DE JULHO DE 2026",447,homologacao_captacao,True,True,2026-07-17,2026-07-20,134,,10,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-447-de-17-de-julho-de-2026-720023961,portaria-sefic/minc-n-447-de-17-de-julho-de-2026-720023961,95,136920758.73,True,Homologar os projetos culturais relacionados nos
