Mês,Dívida bruta — abertura (R$ milhões),Dívida bruta — abertura (% PIB),Fatores condicionantes (R$ milhões),Fatores condicionantes (% PIB),Necessidade de financiamento da DBGG (R$ milhões),Necessidade de financiamento da DBGG (% PIB),Juros nominais (R$ milhões),Juros nominais (% PIB),Emissões líquidas (R$ milhões),Emissões líquidas (% PIB),Ajuste cambial (R$ milhões),Ajuste cambial (% PIB),Dívida interna indexada ao câmbio (R$ milhões),Dívida interna indexada ao câmbio (% PIB),Dívida externa — metodológico (R$ milhões),Dívida externa — metodológico (% PIB),Dívida externa — outros ajustes (R$ milhões),Dívida externa — outros ajustes (% PIB),Reconhecimento de dívidas (R$ milhões),Reconhecimento de dívidas (% PIB),Privatizações (R$ milhões),Privatizações (% PIB),Efeito do crescimento do PIB sobre a dívida (p.p. do PIB),Variação mensal da dívida bruta (R$ milhões),Variação mensal da dívida bruta (p.p. do PIB),Dívida bruta — fechamento (R$ milhões),Dívida bruta — fechamento (% PIB),PIB acumulado em 12 meses (R$ milhões),Publicação BCB
2007-11-30,1538287.061656,57.464249,6668.669198,0.247065,3665.365652,0.135796,15141.083003,0.560955,-11475.717351,-0.425159,2883.794716,0.106840,258.870116,0.009591,2624.924600,0.097250,46.527330,0.001724,72.981500,0.002704,0.000000,0.000000,-0.472944,6668.669198,-0.225880,1544955.730855,57.238369,2699160.980371,facdbp-201812
2007-12-31,1544955.730855,57.238369,-2103.897249,-0.077342,-1029.290229,-0.037838,15894.992465,0.584318,-16924.282694,-0.622156,-899.069389,-0.033051,-81.328489,-0.002990,-817.740900,-0.030061,-811.016360,-0.029814,635.478730,0.023361,0.000000,0.000000,-0.444017,-2103.897249,-0.521358,1542851.833606,56.717011,2720262.937800,facdbp-201812
2008-01-31,1542851.833606,56.717011,36622.451171,1.333481,35804.885393,1.303712,16909.751185,0.615710,18895.134208,0.688001,-796.658392,-0.029008,-72.314392,-0.002633,-724.344000,-0.026374,1472.182350,0.053604,142.041820,0.005172,0.000000,0.000000,-0.539369,36622.451171,0.794112,1579474.284777,57.511123,2746380.523695,facdbp-201812
2008-02-29,1579474.284777,57.511123,4419.631597,0.159188,8696.956336,0.313251,14433.714982,0.519879,-5736.758645,-0.206629,-5594.543586,-0.201507,-506.877407,-0.018257,-5087.666179,-0.183250,1150.316136,0.041433,166.902710,0.006012,0.000000,0.000000,-0.620970,4419.631597,-0.461782,1583893.916374,57.049341,2776357.950926,facdbp-201812
2008-03-31,1583893.916374,57.049341,15154.595784,0.541063,10297.377139,0.367646,15054.248141,0.537480,-4756.871002,-0.169834,4758.833101,0.169904,435.554941,0.015551,4323.278160,0.154353,-60.078656,-0.002145,158.464200,0.005658,0.000000,0.000000,-0.499781,15154.595784,0.041282,1599048.512158,57.090623,2800895.181753,facdbp-201812
2008-04-30,1599048.512158,57.090623,3308.422147,0.116717,7354.720413,0.259466,15658.025423,0.552397,-8303.305010,-0.292931,-4456.206193,-0.157210,-410.530407,-0.014483,-4045.675786,-0.142727,353.156497,0.012459,56.751430,0.002002,0.000000,0.000000,-0.678077,3308.422147,-0.561360,1602356.934304,56.529263,2834561.870074,facdbp-201812
2008-05-31,1602356.934304,56.529263,-3945.911277,-0.137826,126.704307,0.004426,16074.318553,0.561458,-15947.614247,-0.557032,-4089.910364,-0.142856,-377.458094,-0.013184,-3712.452270,-0.129672,13.443854,0.000470,3.850927,0.000135,0.000000,0.000000,-0.560765,-3945.911277,-0.698591,1598411.023027,55.830672,2862962.194361,facdbp-201812
2008-06-30,1598411.023027,55.830672,13725.705393,0.473338,16295.745162,0.561968,17423.867592,0.600872,-1128.122430,-0.038904,-2670.426475,-0.092091,-245.052089,-0.008451,-2425.374386,-0.083640,39.804206,0.001373,60.582500,0.002089,0.000000,0.000000,-0.708596,13725.705393,-0.235257,1612136.728420,55.595415,2899765.638338,facdbp-201812
2008-07-31,1612136.728420,55.595415,20576.947983,0.698936,21048.555788,0.714955,19077.549202,0.648006,1971.006586,0.066949,-1782.846755,-0.060558,-150.007255,-0.005095,-1632.839500,-0.055463,1022.119560,0.034718,289.119390,0.009821,0.000000,0.000000,-0.836053,20576.947983,-0.137117,1632713.676403,55.458298,2944038.578711,facdbp-201812
2008-08-31,1632713.676403,55.458298,1876.938709,0.063021,-2018.939786,-0.067789,16322.984601,0.548072,-18341.924387,-0.615861,4763.867804,0.159955,401.743204,0.013489,4362.124600,0.146466,-1027.975850,-0.034516,159.986540,0.005372,0.000000,0.000000,-0.637148,1876.938709,-0.574127,1634590.615111,54.884171,2978255.109420,facdbp-201812
2008-09-30,1634590.615111,54.884171,21575.917483,0.714311,4354.727872,0.144171,17082.312688,0.565542,-12727.584816,-0.421370,19450.294291,0.643938,1652.355391,0.054704,17797.938900,0.589234,-2275.841760,-0.075346,46.737080,0.001547,0.000000,0.000000,-0.768013,21575.917483,-0.053702,1656166.532594,54.830469,3020522.290740,facdbp-201812
2008-10-31,1656166.532594,54.830469,28118.941793,0.919188,16225.537027,0.530401,18301.844542,0.598274,-2076.307515,-0.067873,13919.779166,0.455028,1182.328166,0.038649,12737.451000,0.416378,-2156.243670,-0.070486,129.869270,0.004245,0.000000,0.000000,-0.691551,28118.941793,0.227637,1684285.474387,55.058106,3059105.347665,facdbp-201812
