artigo,projetos,com_captacao,teto_dou,captado,renuncia_estimada,taxa_captacao
artigo_18,5873,397,8827477115.7516,132681345.88,132681345.88,0.01503049445953767
artigo_26,377,7,447671273.5,4858200.67,1457460.201,0.010852160854587423
