codigo,ano,data,valor_dezembro_rs_mil,variacao_ano_rs_mil,n_meses,fechamento,serie,coluna,grupo,valor_dezembro_rs_milhoes,variacao_ano_rs_milhoes
1809,2019,2019-12-01,127568060,227324959.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,127568.06,227324.959
1810,2019,2019-12-01,-43975649,-89301052.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-43975.649,-89301.052
1811,2019,2019-12-01,-46838632,-141168328.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-46838.632,-141168.328
1815,2019,2019-12-01,-6659602,16690766.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-6659.602,16690.766
1818,2019,2019-12-01,-3362213,-6634019.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-3362.213,-6634.019
12484,2019,2019-12-01,-60,-14549.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.06,-14.549
12487,2019,2019-12-01,-6928091,7639551.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-6928.091,7639.551
29004,2019,2019-12-01,-15623582,-15720656.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-15623.582,-15720.656
29006,2019,2019-12-01,143191642,243045615.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,143191.642,243045.615
1788,2020,2020-12-01,431536653,114949946.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,431536.653,114949.946
1809,2020,2020-12-01,-19509913,-630037433.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,-19509.913,-630037.433
1810,2020,2020-12-01,25213146,704194538.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,25213.146,704194.538
1811,2020,2020-12-01,-12809786,-117733553.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-12809.786,-117733.553
1815,2020,2020-12-01,3009625,69829095.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,3009.625,69829.095
1818,2020,2020-12-01,-1835660,-19343055.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-1835.66,-19343.055
12484,2020,2020-12-01,2383,3485.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,2.383,3.485
12487,2020,2020-12-01,-8028787,40800821.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-8028.787,40800.821
