codigo,modalidade,segmento,origem,inicio,fim,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20714,Total do SFN,Total,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,27.294,23.799166666666665,21.300833333333333,23.486666666666665,27.55,32.195,28.930833333333336,24.765833333333333,24.38083333333333,20.024166666666666,21.05666666666667,28.034166666666668,30.209166666666665,27.926666666666666,31.530833333333334,33.089999999999996
20715,Total PJ,PJ,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,19.211,16.408333333333335,14.978333333333333,16.584166666666665,19.536666666666665,21.837500000000002,19.05333333333333,16.176666666666666,15.013333333333334,11.894166666666665,14.3075,19.605,19.965,18.446666666666665,21.05666666666667,21.191666666666666
20716,Total PF,PF,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,36.285000000000004,31.555833333333336,27.736666666666668,30.3125,35.086666666666666,41.04833333333333,36.373333333333335,30.7775,30.35166666666667,25.245833333333334,25.141666666666666,32.776666666666664,35.4775,32.52916666666667,36.416666666666664,38.675000000000004
20717,Recursos livres — total,Total,Livres,03/2011,06/2026,,,,,,,,,,,37.916000000000004,33.05416666666667,30.969166666666666,35.806666666666665,43.123333333333335,51.26,46.324999999999996,38.653333333333336,36.7975,28.680000000000003,29.514166666666668,38.78916666666667,42.79583333333333,40.18666666666667,45.531666666666666,48.91833333333333
20718,Livres PJ — total,PJ,Livres,03/2011,06/2026,,,,,,,,,,,26.5,21.526666666666667,20.666666666666668,23.758333333333336,27.866666666666664,30.214166666666667,25.21666666666667,20.728333333333335,18.614166666666666,13.776666666666666,16.136666666666667,22.42,23.103333333333335,21.289166666666667,24.278333333333332,24.796666666666667
20719,PJ — desconto de duplicatas e recebíveis,PJ,Livres,01/2001,06/2026,47.524166666666666,50.48,52.7525,41.15333333333333,42.91083333333333,38.722500000000004,33.29416666666666,41.095,41.134166666666665,39.64666666666667,36.06,28.159166666666664,26.045,28.355833333333333,32.137499999999996,34.060833333333335,26.300833333333333,19.191666666666666,18.288333333333334,12.805833333333334,12.395000000000001,19.421666666666667,20.241666666666667,16.885,19.454166666666666,19.095
20720,PJ — desconto de cheques,PJ,Livres,03/2011,06/2026,,,,,,,,,,,38.866,33.295,32.6675,37.80583333333333,42.152499999999996,46.91833333333333,43.4175,37.803333333333335,33.1075,26.633333333333336,28.575833333333335,36.57666666666667,40.780833333333334,35.57,37.51166666666666,32.23166666666666
20721,PJ — antecipação de faturas de cartão,PJ,Livres,03/2011,06/2026,,,,,,,,,,,36.316,32.498333333333335,28.235,28.293333333333333,31.10083333333333,29.345,23.800833333333333,19.413333333333334,14.103333333333333,7.94,9.225,16.593333333333334,15.581666666666665,12.796666666666667,16.88083333333333,16.338333333333335
20722,PJ — capital de giro até 365 dias,PJ,Livres,03/2011,06/2026,,,,,,,,,,,23.547,18.509166666666665,18.755,21.368333333333336,23.98166666666667,25.257500000000004,21.085833333333333,18.266666666666666,16.135,9.2225,15.831666666666665,22.0725,25.39,24.0675,29.15416666666667,25.118333333333336
20723,PJ — capital de giro acima de 365 dias,PJ,Livres,03/2011,06/2026,,,,,,,,,,,22.240000000000002,16.871666666666666,17.0275,20.355,23.91,24.78833333333333,19.662499999999998,16.8875,15.600833333333334,12.560833333333333,15.896666666666667,22.0725,22.209166666666665,20.69,23.139166666666668,23.048333333333332
20724,PJ — capital de giro rotativo,PJ,Livres,03/2011,06/2026,,,,,,,,,,,26.837,24.635833333333334,25.0325,33.395,40.035000000000004,45.6175,41.031666666666666,33.83833333333333,25.8275,22.479166666666668,33.262499999999996,37.229166666666664,30.830833333333334,28.674166666666665,32.350833333333334,36.42666666666667
20725,PJ — capital de giro total,PJ,Livres,01/2001,06/2026,33.2675,33.535000000000004,36.7125,30.298333333333332,32.16416666666667,28.120833333333334,23.695833333333336,25.449166666666667,23.790000000000003,21.924166666666665,22.97,18.029166666666665,18.210833333333333,21.855,25.5575,26.708333333333332,21.115833333333335,17.8425,16.283333333333335,12.58,16.650833333333335,22.62,22.735,21.230833333333333,24.52333333333333,23.78333333333333
20726,PJ — conta garantida,PJ,Livres,03/2011,06/2026,,,,,,,,,,,39.872,38.44583333333333,37.50333333333334,40.395,46.75416666666666,51.27583333333333,46.2725,39.81666666666667,38.215833333333336,30.170833333333334,35.405833333333334,44.3475,48.455000000000005,53.6025,57.80416666666667,61.38333333333333
20727,PJ — cheque especial,PJ,Livres,03/2011,06/2026,,,,,,,,,,,172.738,160.23166666666665,146.52583333333334,167.58416666666668,228.1575,318.8591666666667,338.89416666666665,337.15833333333336,333.39166666666665,301.36,315.7325,319.4316666666667,336.65416666666664,340.71166666666664,349.25499999999994,350.62166666666667
20728,PJ — aquisição de veículos,PJ,Livres,03/2011,06/2026,,,,,,,,,,,20.386000000000003,17.239166666666666,17.171666666666667,19.480833333333333,21.274166666666666,22.12166666666667,18.892500000000002,15.637500000000001,13.414166666666667,11.825000000000001,13.991666666666667,18.7225,18.014166666666664,16.764166666666664,19.080833333333334,18.72
20740,Livres PF — total,PF,Livres,03/2011,06/2026,,,,,,,,,,,48.166000000000004,43.88583333333333,40.895833333333336,47.524166666666666,58.01166666666666,70.35833333333333,63.468333333333334,52.79916666666667,50.55583333333333,41.056666666666665,40.41416666666667,51.280833333333334,56.56166666666667,52.60166666666667,58.453333333333326,62.461666666666666
