reuniao,data,titulo,url_pdf,link,ident,n_caracteres,selic_antes,selic,delta_selic,decisao,voto,trecho,inflacao,cambio,fiscal,atividade,credito,externo,expectativas,guidance,credibilidade,pandemia,ano
134,2008-04-16,134ª Reunião,,/publicacoes/atascopom/16042008,16042008,62703,11.25,11.75,0.5,alta,unânime,"implementação da política monetária e seus efeitos sobre o nível de atividade e sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. 21. Ao longo dos próximos meses, o crescimento do…",69,15,2,32,23,12,19,1,0,0,2008
135,2008-06-04,135ª Reunião,,/publicacoes/atascopom/04062008,4062008,60213,11.75,12.25,0.5,alta,unânime,"implementação da política monetária e seus efeitos sobre o nível de atividade e sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. 20. Ao longo dos próximos meses, o crescimento do…",71,14,3,27,24,13,21,1,0,0,2008
136,2008-07-23,136ª Reunião,,/publicacoes/atascopom/23072008,23072008,62153,12.25,13.0,0.75,alta,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. 21. Ao longo dos próximos meses, o crescimento…",74,14,2,27,21,14,22,2,0,0,2008
137,2008-09-10,137ª Reunião,,/publicacoes/atascopom/10092008,10092008,63824,13.0,13.75,0.75,alta,—,"implementação da política monetária. 24. O Copom avalia que, diante dos sinais de aquecimento da economia e do comportamento das expectativas de inflação, continuam sendo relevantes os riscos para a concretização de um cenário inflacionário benigno, no qual o IPCA voltaria a evoluir de forma consistente com a trajetória das metas. De fato, a deterioração do cenário prospectivo ainda se manifesta nas projeções de…",71,16,3,30,21,18,22,1,0,0,2008
138,2008-10-29,138ª Reunião,,/publicacoes/atascopom/29102008,29102008,65921,13.75,13.75,0.0,manutenção,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância…",70,23,2,26,19,13,20,2,0,0,2008
139,2008-12-10,139ª Reunião,,/publicacoes/atascopom/10122008,10122008,68290,13.75,13.75,0.0,manutenção,unânime,"implementação da política monetária. 25. O Copom avalia que, diante dos sinais, evidenciados desde a sua última reunião, de arrefecimento do ritmo de atividade econômica, no que se refere, por exemplo, aos indicadores de produção industrial, alguns dados disponíveis sobre o mercado de trabalho e taxas de utilização da capacidade na indústria, bem como confiança dos empresários e consumidores, e do comportamento das…",70,18,3,38,21,12,20,1,0,0,2008
140,2009-01-21,140ª Reunião,,/publicacoes/atascopom/21012009,21012009,65385,13.75,12.75,-1.0,corte,—,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância…",67,14,3,38,22,12,23,2,0,0,2009
141,2009-03-11,141ª Reunião,,/publicacoes/atascopom/11032009,11032009,64244,12.75,11.25,-1.5,corte,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar os valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância…",64,14,5,40,19,11,20,1,0,0,2009
142,2009-04-29,142ª Reunião,,/publicacoes/atascopom/29042009,29042009,57831,11.25,10.25,-1.0,corte,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância em…",65,11,5,34,20,8,22,1,0,0,2009
143,2009-06-10,143ª Reunião,,/publicacoes/atascopom/10062009,10062009,61853,10.25,10.25,0.0,manutenção,—,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 09 e 10/06/2009 Local: Sala de reuniões do 8º andar (09/06) e do 20º andar (10/06) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h40…,66,13,3,41,20,11,22,1,0,0,2009
