codigo_taxa,codigo_spread,modalidade,segmento,origem,inicio,fim,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20714,20783,Total do SFN,Total,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,9.311,7.289166666666667,7.460833333333333,8.609166666666667,10.049166666666666,10.020833333333334,7.576666666666665,6.603333333333334,5.535833333333333,4.114166666666667,6.198333333333334,10.045,9.760833333333332,9.2675,11.183333333333332,11.19
20715,20784,Total PJ,PJ,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,8.809999999999999,7.125833333333333,7.2725,8.365833333333333,9.9925,10.150833333333333,7.8741666666666665,7.043333333333333,6.016666666666667,4.375,6.998333333333334,10.894166666666665,10.668333333333335,10.294166666666666,12.3575,12.5
20716,20785,Total PF,PF,Livre e direcionado,03/2011,06/2026,,,,,,,,,,,9.866999999999999,7.460833333333333,7.654166666666668,8.8475,10.1025,9.9125,7.354166666666667,6.296666666666667,5.2299999999999995,3.9466666666666668,5.718333333333334,9.561666666666667,9.290833333333335,8.765,10.635,10.575000000000001
20717,20786,Recursos livres — total,Total,Livres,03/2011,06/2026,,,,,,,,,,,11.405000000000001,8.655833333333334,9.425833333333333,11.381666666666668,13.389166666666666,12.893333333333336,9.45,8.344166666666666,6.6049999999999995,4.8999999999999995,7.620833333333333,12.098333333333334,11.760833333333332,11.335833333333333,13.806666666666667,13.62
20718,20787,Livres PJ — total,PJ,Livres,03/2011,06/2026,,,,,,,,,,,10.975999999999999,8.1975,8.977500000000001,10.9675,13.030833333333334,12.501666666666667,8.920833333333333,7.709166666666667,6.245,4.3175,7.19,11.840833333333334,11.5525,11.065,13.391666666666666,13.086666666666668
20740,20809,Livres PF — total,PF,Livres,03/2011,06/2026,,,,,,,,,,,11.789,9.089166666666667,9.86,11.783333333333333,13.739166666666668,13.255,9.875833333333334,8.8425,6.879166666666666,5.388333333333333,7.974999999999999,12.29416666666667,11.910833333333334,11.512499999999998,14.057499999999997,13.918333333333331
20756,20825,Recursos direcionados — total,Total,Direcionados,03/2011,06/2026,,,,,,,,,,,5.824,5.024166666666667,4.616666666666666,5.1049999999999995,6.1475,6.815,5.548333333333333,4.586666666666667,4.148333333333333,2.9583333333333335,3.9616666666666664,6.7058333333333335,6.7075,6.276666666666666,7.47,7.966666666666666
20768,20837,Direcionados PF — total,PF,Direcionados,03/2011,06/2026,,,,,,,,,,,5.473000000000001,4.3133333333333335,4.235833333333333,5.060833333333333,6.017500000000001,6.3933333333333335,4.802499999999999,3.6491666666666664,3.388333333333333,2.3008333333333333,3.0683333333333334,6.2375,6.2375,5.6691666666666665,6.714166666666667,6.703333333333333
20757,20826,Direcionados PJ — total,PJ,Direcionados,03/2011,06/2026,,,,,,,,,,,6.044,5.590833333333333,4.9558333333333335,5.1466666666666665,6.2941666666666665,7.338333333333334,6.640833333333333,6.140000000000001,5.639166666666667,4.5175,6.46,8.143333333333333,8.27,8.35,9.9825,11.431666666666667
