reuniao,data,titulo,url_pdf,link,ident
243,2021-12-08,"243ª Reunião - 7-8 dezembro, 2021",/content/copom/atascopom/Copom243-not20211208243.pdf,/publicacoes/atascopom/08122021,08122021
244,2022-02-02,"244ª Reunião - 1-2 fevereiro, 2022",/content/copom/atascopom/Copom244-not20220202244.pdf,/publicacoes/atascopom/02022022,02022022
245,2022-03-16,"245ª Reunião - 15-16 março, 2022",/content/copom/atascopom/Copom245-not20220316245.pdf,/publicacoes/atascopom/16032022,16032022
246,2022-05-04,"246ª Reunião - 3-4 maio, 2022",/content/copom/atascopom/Copom246-not20220504246.pdf,/publicacoes/atascopom/04052022,04052022
247,2022-06-15,"247ª Reunião - 14-15 junho, 2022",/content/copom/atascopom/Copom247-not20220615247.pdf,/publicacoes/atascopom/15062022,15062022
248,2022-08-03,"248ª Reunião - 2-3 agosto, 2022",/content/copom/atascopom/Copom248-not20220803248.pdf,/publicacoes/atascopom/03082022,03082022
249,2022-09-21,"249ª Reunião - 20-21 setembro, 2022",/content/copom/atascopom/Copom249-not20220921249.pdf,/publicacoes/atascopom/21092022,21092022
250,2022-10-26,"250ª Reunião - 25-26 outubro, 2022",/content/copom/atascopom/Copom250-not20221026250.pdf,/publicacoes/atascopom/26102022,26102022
251,2022-12-07,"251ª Reunião - 6-7 dezembro, 2022",/content/copom/atascopom/Copom251-not20221207251.pdf,/publicacoes/atascopom/07122022,07122022
252,2023-02-01,"252ª Reunião - 31 janeiro - 1 fevereiro, 2023",/content/copom/atascopom/Copom252-not20230201252.pdf,/publicacoes/atascopom/01022023,01022023
253,2023-03-22,"253ª Reunião - 21-22 março, 2023",/content/copom/atascopom/Copom253-not20230322253.pdf,/publicacoes/atascopom/22032023,22032023
254,2023-05-03,"254ª Reunião - 2-3 maio, 2023",/content/copom/atascopom/Copom254-not20230503254.pdf,/publicacoes/atascopom/03052023,03052023
255,2023-06-21,"255ª Reunião - 20-21 junho, 2023",/content/copom/atascopom/Copom255-not20230621255.pdf,/publicacoes/atascopom/21062023,21062023
256,2023-08-02,"256ª Reunião - 1-2 agosto, 2023",/content/copom/atascopom/Copom256-not20230802256.pdf,/publicacoes/atascopom/02082023,02082023
257,2023-09-20,"257ª Reunião - 19-20 setembro, 2023",/content/copom/atascopom/Copom257-not20230920257.pdf,/publicacoes/atascopom/20092023,20092023
258,2023-11-01,"258ª Reunião - 31 outubro - 1 novembro, 2023",/content/copom/atascopom/Copom258-not20231101258.pdf,/publicacoes/atascopom/01112023,01112023
259,2023-12-13,"259ª Reunião - 12-13 dezembro, 2023",/content/copom/atascopom/Copom259-not20231213259.pdf,/publicacoes/atascopom/13122023,13122023
260,2024-01-31,"260ª Reunião - 30-31 janeiro, 2024",/content/copom/atascopom/Copom260-not20240131260.pdf,/publicacoes/atascopom/31012024,31012024
261,2024-03-20,"261ª Reunião - 19-20 março, 2024",/content/copom/atascopom/Copom261-not20240320261.pdf,/publicacoes/atascopom/20032024,20032024
262,2024-05-08,"262ª Reunião - 7-8 maio, 2024",/content/copom/atascopom/Copom262-not20240508262.pdf,/publicacoes/atascopom/08052024,08052024
263,2024-06-19,"263ª Reunião - 18-19 junho, 2024",/content/copom/atascopom/Copom263-not20240619263.pdf,/publicacoes/atascopom/19062024,19062024
264,2024-07-31,"264ª Reunião - 30-31 julho, 2024",/content/copom/atascopom/Copom264-not20240731264.pdf,/publicacoes/atascopom/31072024,31072024
265,2024-09-18,"265ª Reunião - 17-18 setembro, 2024",/content/copom/atascopom/Copom265-not20240918265.pdf,/publicacoes/atascopom/18092024,18092024
266,2024-11-06,"266ª Reunião - 5-6 novembro, 2024",/content/copom/atascopom/Copom266-not20241106266.pdf,/publicacoes/atascopom/06112024,06112024
267,2024-12-11,"267ª Reunião - 10-11 dezembro, 2024",/content/copom/atascopom/Copom267-not20241211267.pdf,/publicacoes/atascopom/11122024,11122024
268,2025-01-29,"268ª Reunião - 28-29 janeiro, 2025",/content/copom/atascopom/Copom268-not20250129268.pdf,/publicacoes/atascopom/29012025,29012025
269,2025-03-19,"269ª Reunião - 18-19 março, 2025",/content/copom/atascopom/Copom269-not20250319269.pdf,/publicacoes/atascopom/19032025,19032025
270,2025-05-07,"270ª Reunião - 6-7 maio, 2025",/content/copom/atascopom/Copom270-not20250507270.pdf,/publicacoes/atascopom/07052025,07052025
271,2025-06-18,"271ª Reunião - 17-18 junho, 2025",/content/copom/atascopom/Copom271-not20250618271.pdf,/publicacoes/atascopom/18062025,18062025
272,2025-07-30,"272ª Reunião - 29-30 julho, 2025",/content/copom/atascopom/Copom272-not20250730272.pdf,/publicacoes/atascopom/30072025,30072025
273,2025-09-17,"273ª Reunião - 16-17 setembro, 2025",/content/copom/atascopom/Copom273-not20250917273.pdf,/publicacoes/atascopom/17092025,17092025
274,2025-11-05,"274ª Reunião - 4-5 novembro, 2025",/content/copom/atascopom/Copom274-not20251105274.pdf,/publicacoes/atascopom/05112025,05112025
275,2025-12-10,"275ª Reunião - 9-10 dezembro, 2025",/content/copom/atascopom/Copom275-not20251210275.pdf,/publicacoes/atascopom/10122025,10122025
276,2026-01-28,"276ª Reunião - 27-28 janeiro, 2026",/content/copom/atascopom/Copom276-not20260128276.pdf,/publicacoes/atascopom/28012026,28012026
277,2026-03-18,"277ª Reunião - 17-18 março, 2026",/content/copom/atascopom/Copom277-not20260318277.pdf,/publicacoes/atascopom/18032026,18032026
278,2026-04-29,"278ª Reunião - 28-29 abril, 2026",/content/copom/atascopom/Copom278-not20260429278.pdf,/publicacoes/atascopom/29042026,29042026
279,2026-06-17,"279ª Reunião - 16-17 junho, 2026",/content/copom/atascopom/Copom279-not20260617279.pdf,/publicacoes/atascopom/17062026,17062026
280,2026-08-05,"280ª Reunião - 4-5 agosto, 2026",/content/copom/atascopom/Copom280-not20260805280.pdf,/publicacoes/atascopom/05082026,05082026
