REGIAO,SG_UF,CAND_PT_2014,CAND_OPP_2014,QT_SECOES_2014,QT_VOTOS_PT_2014,QT_VOTOS_OPP_2014,QT_VOTOS_VALIDOS_2014,PCT_PT_2014,PCT_OPP_2014,VENCEDOR_2014,LADO_2014,CAND_PT_2018,CAND_OPP_2018,QT_SECOES_2018,QT_VOTOS_PT_2018,QT_VOTOS_OPP_2018,QT_VOTOS_VALIDOS_2018,PCT_PT_2018,PCT_OPP_2018,VENCEDOR_2018,LADO_2018,CAND_PT_2022,CAND_OPP_2022,QT_SECOES_2022,QT_VOTOS_PT_2022,QT_VOTOS_OPP_2022,QT_VOTOS_VALIDOS_2022,PCT_PT_2022,PCT_OPP_2022,VENCEDOR_2022,LADO_2022,DIF_PCT_PT_2014_2018,DIF_PCT_PT_2018_2022,DIF_PCT_PT_2014_2022,INVERTEU_2014_2018,INVERTEU_2018_2022,INVERTEU_2014_2022,COMPARAVEL
Norte,RO,Dilma,Aécio,3631,364213,442698,806911,45.14,54.86,Aécio,OPP,Haddad,Bolsonaro,4181,229343,594968,824311,27.82,72.18,Bolsonaro,OPP,Lula,Bolsonaro,4198,262904,633236,896140,29.34,70.66,Bolsonaro,OPP,-17.32,1.52,-15.8,N,N,N,S
Norte,RR,Dilma,Aécio,1060,97425,139752,237177,41.08,58.92,Aécio,OPP,Haddad,Bolsonaro,1172,72872,183268,256140,28.45,71.55,Bolsonaro,OPP,Lula,Bolsonaro,1268,67128,213518,280646,23.92,76.08,Bolsonaro,OPP,-12.63,-4.53,-17.16,N,N,N,S
Norte,TO,Dilma,Aécio,3517,428774,292176,720950,59.47,40.53,Dilma,PT,Haddad,Bolsonaro,3832,371593,356684,728277,51.02,48.98,Haddad,PT,Lula,Bolsonaro,3957,434593,411654,846247,51.36,48.64,Lula,PT,-8.45,0.34,-8.11,N,N,N,S
Sudeste,ES,Dilma,Aécio,7950,912391,1065485,1977876,46.13,53.87,Aécio,OPP,Haddad,Bolsonaro,8724,747768,1276611,2024379,36.94,63.06,Bolsonaro,OPP,Lula,Bolsonaro,9239,926767,1282145,2208912,41.96,58.04,Bolsonaro,OPP,-9.19,5.02,-4.17,N,N,N,S
Sudeste,MG,Dilma,Aécio,45779,5981162,5432465,11413627,52.4,47.6,Dilma,PT,Haddad,Bolsonaro,48166,4382952,6100107,10483059,41.81,58.19,Bolsonaro,OPP,Lula,Bolsonaro,49981,6190960,6141310,12332270,50.2,49.8,Lula,PT,-10.59,8.39,-2.2,S,S,N,S
Sudeste,RJ,Dilma,Aécio,32692,4489860,3685122,8174982,54.92,45.08,Dilma,PT,Haddad,Bolsonaro,33901,2673386,5669059,8342445,32.05,67.95,Bolsonaro,OPP,Lula,Bolsonaro,34068,4156217,5403894,9560111,43.47,56.53,Bolsonaro,OPP,-22.87,11.42,-11.45,S,N,S,S
Sudeste,SP,Dilma,Aécio,88808,8492620,15311664,23804284,35.68,64.32,Aécio,OPP,Haddad,Bolsonaro,96328,7212132,15306023,22518155,32.03,67.97,Bolsonaro,OPP,Lula,Bolsonaro,101073,11519882,14216587,25736469,44.76,55.24,Bolsonaro,OPP,-3.65,12.73,9.08,N,N,N,S
Sul,PR,Dilma,Aécio,25109,2409677,3769054,6178731,39.0,61.0,Aécio,OPP,Haddad,Bolsonaro,26136,1948790,4224416,6173206,31.57,68.43,Bolsonaro,OPP,Lula,Bolsonaro,25721,2506605,4159343,6665948,37.6,62.4,Bolsonaro,OPP,-7.43,6.03,-1.4,N,N,N,S
Sul,RS,Dilma,Aécio,26447,2998545,3455214,6453759,46.46,53.54,Aécio,OPP,Haddad,Bolsonaro,27274,2263171,3893737,6156908,36.76,63.24,Bolsonaro,OPP,Lula,Bolsonaro,27201,2891851,3733185,6625036,43.65,56.35,Bolsonaro,OPP,-9.7,6.89,-2.81,N,N,N,S
Sul,SC,Dilma,Aécio,14604,1354775,2472142,3826917,35.4,64.6,Aécio,OPP,Haddad,Bolsonaro,15562,940724,2966242,3906966,24.08,75.92,Bolsonaro,OPP,Lula,Bolsonaro,16242,1351918,3047630,4399548,30.73,69.27,Bolsonaro,OPP,-11.32,6.65,-4.67,N,N,N,S
