linha,discriminacao,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,total_5_periodos
168,Arrecadação Ordinária,1543617.32,6301666.42,1477184.49,2382311.57,2431431.54,14136211.34
169,Compensação ao RGPS pelas Desonerações da Folha,0.0,118646.97,54721.03,41655.4,0.0,215023.4
170,,0.0,0.0,0.0,0.0,0.0,0.0
171,Custeio Administrativo,0.0,412246.2,193142.23,253616.05,231077.75,1090082.23
172,Investimento,0.0,939827.64,219957.88,357701.32,315797.58,1833284.41
173,,0.0,0.0,0.0,0.0,0.0,0.0
174,PAC 15/,0.0,615594.97,129370.49,39433.7,0.0,784399.16
175,Minha Casa Minha Vida 17/,0.0,153908.14,21256.01,13057.4,34306.61,222528.16
176,,0.0,0.0,0.0,0.0,0.0,0.0
177,Fundo Soberano do Brasil,0.0,-9866.99,6156.81,0.0,0.0,-3710.18

,SOMA linhas 6–177,41824348.4,189340529.07,41682335.55,71523678.13,72315772.27,416686663.41
,SOMA linhas 6–177 (R$ bi),41824.35,189340.53,41682.34,71523.68,72315.77,416686.66
