linha,item,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,jan/97–dez/02_R$bi,jan/03–mai/16_R$bi,jun/16–dez/18_R$bi,jan/19–dez/22_R$bi,jan/23–mai/26_R$bi
61,2.6  Demais Transferências por Repartição de Receita,20193.83,20314.02,6358.26,36316.43,11627.49,20.19,20.31,6.36,36.32,11.63
62,3. RECEITA LÍQUIDA  (1-2),5437438.65,21890365.47,4712613.24,7973881.96,8073246.46,5437.44,21890.37,4712.61,7973.88,8073.25
63,4. DESPESA TOTAL 2/,4960516.15,20373479.58,5305825.76,9161633.29,8484394.12,4960.52,20373.48,5305.83,9161.63,8484.39
64,4.1  Benefícios Previdenciários ,1812956.14,7918522.49,2277216.54,3747626.92,3630283.28,1812.96,7918.52,2277.22,3747.63,3630.28
65,4.1.1 Benefícios Previdenciários - Urbano 3/,549038.93,6238669.94,1788933.2,2978892.81,2863841.01,549.04,6238.67,1788.93,2978.89,2863.84
66,4.1.1.1 Sent. Judiciais e Precatórios de Benefícios Previdenciários - Urbano,0.0,93747.3,45330.32,96187.35,134676.94,0.0,93.75,45.33,96.19,134.68
67,4.1.2 Benefícios Previdenciários - Rural 3/,131915.29,1679852.55,488283.31,768734.11,766442.27,131.92,1679.85,488.28,768.73,766.44
68,4.1.2.1 Sent. Judiciais e Precatórios de Benefícios Previdenciários - Rural,0.0,27352.6,12647.36,24768.5,36713.53,0.0,27.35,12.65,24.77,36.71
69,4.2  Pessoal e Encargos Sociais,1511664.67,4915414.48,1157658.02,1751154.49,1421119.87,1511.66,4915.41,1157.66,1751.15,1421.12
70,4.2.1 Sent. Judiciais e Precatórios de Pessoal e Encargos,0.0,107687.72,32947.83,45085.18,48008.27,0.0,107.69,32.95,45.09,48.01
71,4.3  Outras Despesas Obrigatórias,366716.12,2840803.77,813692.43,2077789.98,1406045.97,366.72,2840.8,813.69,2077.79,1406.05
72,4.3.01 Abono e Seguro Desemprego,146042.02,872537.67,216551.21,304589.76,305723.63,146.04,872.54,216.55,304.59,305.72
73,4.3.01.1 Abono,0.0,183662.16,65635.46,96344.49,108804.62,0.0,183.66,65.64,96.34,108.8
74,4.3.01.2 Seguro Desemprego,0.0,443240.22,150915.75,208245.27,196919.01,0.0,443.24,150.92,208.25,196.92
75,4.3.01.2.1 d/q Seguro Defeso,0.0,27048.11,8859.17,18578.84,18671.89,0.0,27.05,8.86,18.58,18.67
76,4.3.02  Anistiados,0.0,2902.64,703.72,864.67,734.4,0.0,2.9,0.7,0.86,0.73
77,4.3.03  Apoio Fin. EE/MM,0.0,14051.36,4698.15,128259.75,38798.8,0.0,14.05,4.7,128.26,38.8
78,4.3.04  Benefícios de Legislação Especial e Indenizações,0.0,5062.41,2347.07,3649.36,3203.2,0.0,5.06,2.35,3.65,3.2
79,4.3.05  Benefícios de Prestação Continuada da LOAS/RMV,42334.73,666713.8,216511.19,359838.79,419509.74,42.33,666.71,216.51,359.84,419.51
80,4.3.05.1 Sentenças Judiciais e Precatórios de BPC/LOAS,0.0,6507.29,4334.96,8561.03,19281.12,0.0,6.51,4.33,8.56,19.28
81,4.3.06  Complemento para o FGTS (LC nº 110/01),0.0,34676.39,21283.47,7960.44,521.21,0.0,34.68,21.28,7.96,0.52
82,4.3.07  Créditos Extraordinários 16/,0.0,138391.51,12890.54,825421.4,41503.08,0.0,138.39,12.89,825.42,41.5
83,4.3.08  Compensação ao RGPS pelas Desonerações da Folha,0.0,118646.97,54721.03,41655.4,0.0,0.0,118.65,54.72,41.66,0.0
84,4.3.09  Fabricação de Cédulas e Moedas,4583.9,21349.96,3723.4,5327.8,4020.93,4.58,21.35,3.72,5.33,4.02
85,4.3.10  FUNDEB (Complem. União),9403.64,164881.6,52740.32,112619.11,188049.75,9.4,164.88,52.74,112.62,188.05
86,4.3.11  Fundo Constitucional DF (Custeio e Capital),0.0,29020.72,5928.11,11009.66,17737.81,0.0,29.02,5.93,11.01,17.74
87,4.3.12  Legislativo/Judiciário/MPU/DPU (Custeio e Capital),0.0,146571.08,52426.27,66004.43,70134.56,0.0,146.57,52.43,66.0,70.13
88,4.3.13  Lei Kandir (LC nº 87/96 e 102/00) e LC nº 176 de 2020,92080.13,139172.78,14957.65,15490.02,14807.33,92.08,139.17,14.96,15.49,14.81
89,4.3.14  Sentenças Judiciais e Precatórios (Custeio e Capital),0.0,68108.84,53555.68,100934.06,200850.59,0.0,68.11,53.56,100.93,200.85
90,"4.3.15  Subsídios, Subvenções e Proagro",66842.97,302046.41,70784.31,75195.07,80381.68,66.84,302.05,70.78,75.2,80.38
91,4.3.15.1 Operações Oficiais de Crédito e Reordenamento de Passivos,66842.97,292382.0,69149.23,55387.34,60876.68,66.84,292.38,69.15,55.39,60.88
92,4.3.15.1.1 Equalização de custeio agropecuário,5354.15,26335.39,6034.61,6350.6,5542.32,5.35,26.34,6.03,6.35,5.54
93,4.1.15.1.2 Equalização de invest. rural e agroindustrial 4/,1079.97,12654.12,7727.98,11884.9,15631.91,1.08,12.65,7.73,11.88,15.63
94,4.3.15.1.3 Política de preços agrícolas,10259.91,35741.47,2069.23,987.56,435.08,10.26,35.74,2.07,0.99,0.44
95,4.3.15.1.3.1 Equalização Empréstimo do Governo Federal,1546.24,1853.25,223.61,104.47,36.42,1.55,1.85,0.22,0.1,0.04
96,4.3.15.1.3.2 Equalização Aquisições do Governo Federal,5987.53,13652.22,925.62,788.29,398.66,5.99,13.65,0.93,0.79,0.4
97,4.3.15.1.3.3 Garantia à Sustentação de Preços,2726.14,20236.0,920.0,94.8,0.0,2.73,20.24,0.92,0.09,0.0
98,4.3.15.1.4 Pronaf,8704.04,56032.73,14153.66,17381.23,26140.7,8.7,56.03,14.15,17.38,26.14
99,4.3.15.1.4.1 Equalização Empréstimo do Governo Federal,0.0,52929.71,14643.05,17536.79,25167.4,0.0,52.93,14.64,17.54,25.17
100,4.3.15.1.4.2 Concessão de Financiamento 5/,0.0,3103.02,-489.39,-155.56,973.3,0.0,3.1,-0.49,-0.16,0.97
101,4.3.15.1.4.3 Aquisição,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4.3.15.1.5 Proex,20370.18,13620.94,2109.34,2557.51,2135.09,20.37,13.62,2.11,2.56,2.14
103,4.3.15.1.5.1 Equalização Empréstimo do Governo Federal,0.0,18432.88,2874.47,2049.8,2251.83,0.0,18.43,2.87,2.05,2.25
104,4.3.15.1.5.2 Concessão de Financiamento 5/,0.0,-4811.95,-765.13,507.71,-116.74,0.0,-4.81,-0.77,0.51,-0.12
